ID,Username,Author ID,Date,Time,Retweets,Favorites,Text,Mentions,Hashtags,Permalink,URL
722937695106834433,itzygz,64031700,2016-04-21,05:29,0,0,"""Siento que lo escribió Apu!!! Hahah #TheSimpsons pic.twitter.com/yeuzEotMNu""",-,#TheSimpsons,https://twitter.com/itzygz/status/722937695106834433,-
722936330007801856,MaleRodriguez_4,590421162,2016-04-21,05:23,0,0,"""@TheSimpsons o @BocaJrsOficial esa es la cuestion""",@TheSimpsons @BocaJrsOficial,-,https://twitter.com/MaleRodriguez_4/status/722936330007801856,-
722935494947049472,ptduckz0r,2614128902,2016-04-21,05:20,0,0,"""I've just watched episode S21E10 of The Simpsons! #TheSimpsons http://www. tvshowtime.com/show/71663/epi sode/1129281?ref=60bac01207cb56e3bcd29181ceeca55b …""",-,#TheSimpsons,https://twitter.com/ptduckz0r/status/722935494947049472,http://www.tvshowtime.com/show/71663/episode/1129281?ref=60bac01207cb56e3bcd29181ceeca55b
722931626091659264,thedansalem,19295714,2016-04-21,05:05,0,0,"""How about that Johnny Depp & Amber Heard Australia video? http:// ow.ly/4mV5LO It's like that @TheSimpsons episode! #Comedy""",@TheSimpsons,#Comedy,https://twitter.com/thedansalem/status/722931626091659264,http://ow.ly/4mV5LO
722931624770473984,mandimellen,19295350,2016-04-21,05:05,1,1,"""How about that Johnny Depp & Amber Heard Australia video? http:// ow.ly/4mV5LO It's like that @TheSimpsons episode! #Comedy""",@TheSimpsons,#Comedy,https://twitter.com/mandimellen/status/722931624770473984,http://ow.ly/4mV5LO
722931623801589761,LetsPillowTalk,2180685690,2016-04-21,05:05,0,0,"""How about that Johnny Depp & Amber Heard Australia video? http:// ow.ly/4mV5LO It's like that @TheSimpsons episode! #Comedy""",@TheSimpsons,#Comedy,https://twitter.com/LetsPillowTalk/status/722931623801589761,http://ow.ly/4mV5LO
722931025584775168,holister389,39200146,2016-04-21,05:02,0,0,"""theSimpsons""",-,-,https://twitter.com/holister389/status/722931025584775168,-
722929704471261184,ptduckz0r,2614128902,2016-04-21,04:57,0,0,"""I've just watched episode S21E09 of The Simpsons! #TheSimpsons http://www. tvshowtime.com/show/71663/epi sode/1129301?ref=5fadab3a5610bcf1fcf51d77b9b55fcc …""",-,#TheSimpsons,https://twitter.com/ptduckz0r/status/722929704471261184,http://www.tvshowtime.com/show/71663/episode/1129301?ref=5fadab3a5610bcf1fcf51d77b9b55fcc
722929206380883968,S3D_ABDULLAH_M,1088813185,2016-04-21,04:55,0,0,"""I've just watched episode S21E18 of The Simpsons! #TheSimpsons http://www. tvshowtime.com/show/71663/epi sode/1962611?ref=223f043a539e40f62fcf002e5aac280e … pic.twitter.com/pUrITaavOX""",-,#TheSimpsons,https://twitter.com/S3D_ABDULLAH_M/status/722929206380883968,http://www.tvshowtime.com/show/71663/episode/1962611?ref=223f043a539e40f62fcf002e5aac280e
722928182849089536,synergy_satdas,2859810736,2016-04-21,04:51,0,0,"""LOL #420 #thesimpsons @Barbados https://www. instagram.com/p/BEcLikZS-Lj/""",@Barbados,#420 #thesimpsons,https://twitter.com/synergy_satdas/status/722928182849089536,https://www.instagram.com/p/BEcLikZS-Lj/
722927945279340550,eslec15 HomeroLodijo,3315281289,2016-04-21,04:50,0,1,"""@Intrepidclass @TheSimpsons #TheSimpsons #LisaSimpson https:// twitter.com/HomeroLodijo/s tatus/722925406781882368 …""",@Intrepidclass @TheSimpsons,#TheSimpsons #LisaSimpson,https://twitter.com/eslec15/status/722927945279340550,https://twitter.com/HomeroLodijo/status/722925406781882368
722927110961131520,Anim_Masters,2988131181,2016-04-21,04:47,1,1,"""Caption this! #TheSimpsons pic.twitter.com/TBNxectYo3""",-,#TheSimpsons,https://twitter.com/Anim_Masters/status/722927110961131520,-
