ID,Username,Author ID,Date,Time,Retweets,Favorites,Text,Mentions,Hashtags,Permalink,URL
959935325849247749,cybermark94,602594575,2018-02-04,05:13,0,0,"""Anyone know when @bigbangtheory season 11 will restart in UK? #TheBigBangTheory""",@bigbangtheory,#TheBigBangTheory,https://twitter.com/cybermark94/status/959935325849247749,-
959922949657710592,Parizher,54948681,2018-02-04,04:24,0,0,"""Check out this episode on TV Time. Cada dia mais amo essa série #TheBigBangTheory https:// tvtime.com/r/fmxp""",-,#TheBigBangTheory,https://twitter.com/Parizher/status/959922949657710592,https://tvtime.com/r/fmxp
959915493640503296,enchis620,2288689452,2018-02-04,03:54,0,0,"""Ok devo smettere di guardare #TheBigBangTheory mi fa venire fame ogni volta...""",-,#TheBigBangTheory,https://twitter.com/enchis620/status/959915493640503296,-
959910878060703745,FormulaTV,17634874,2018-02-04,03:36,1,2,"""RECAP | Un nuevo Profesor Protón hace su debut en el 11x15 de #TheBigBangTheory http:// frml.tv/76475 pic.twitter.com/t1vUK104Ev""",-,#TheBigBangTheory,https://twitter.com/FormulaTV/status/959910878060703745,http://frml.tv/76475
959895778973007872,kennedymaster1,3224246104,2018-02-04,02:36,0,0,"""#thebigbangtheory olha que estampa mais loca , gostou peça a sua pelo nosso wats 11945148624 https://www. instagram.com/p/Bev76gWjNUY/""",-,#thebigbangtheory,https://twitter.com/kennedymaster1/status/959895778973007872,https://www.instagram.com/p/Bev76gWjNUY/
959890552669065216,Jonathan_Bod,1591201466,2018-02-04,02:15,0,1,"""Des barres de rires avec le scanner rétinien #TheBigBangTheory""",-,#TheBigBangTheory,https://twitter.com/Jonathan_Bod/status/959890552669065216,-
959889197397143552,Jonathan_Bod,1591201466,2018-02-04,02:09,0,0,"""J'adore quand Bernadette s'enerve #TheBigBangTheory""",-,#TheBigBangTheory,https://twitter.com/Jonathan_Bod/status/959889197397143552,-
959888455521226753,Accolatheking,216184327,2018-02-04,02:06,0,0,"""#Tbt #TheBigBangTheory #NRJ12 un bon samedi soir :) pic.twitter.com/46CPQz1wXJ""",-,#Tbt #TheBigBangTheory #NRJ12,https://twitter.com/Accolatheking/status/959888455521226753,-
959888015169605632,sebsteph91,866726172431962113,2018-02-04,02:05,0,0,"""#TheBigBangTheory sur #NRJ12 #barrederire""",-,#TheBigBangTheory #NRJ12 #barrederire,https://twitter.com/sebsteph91/status/959888015169605632,-
959887603284791296,Louiisoch,2559345946,2018-02-04,02:03,1,4,"""« Ce n'est pas comme si vous nous construisiez l'Étoile Noire de Star Trek » #TheBigBangTheory pic.twitter.com/k8goIhZMkv""",-,#TheBigBangTheory,https://twitter.com/Louiisoch/status/959887603284791296,-
